RANK,PLAYER,CLUB,LG,COUNTRY,,COUNTRY,COUNT,AVG,CC,,LEAGUE,COUNT,AVG,CC,,CLUB,COUNT,AVG,CC,,LG,CLUB,COUNT
87,Spitse,Valerenga,NOR,Netherlands,,,,,,,,,,,,,,,,,,,
88,Castellanos,Florida State,NCAA,Venezuela,,,,,,,,,,,,,,,,,,,
89,Kawasumi,Seattle,NWSL,Japan,,,,,,,,,,,,,,,,,,,
90,Blackstenius,Montpellier,FRA,Sweden,,,,,,,,,,,,,,,,,,,
91,Bright,Chelsea,ENG,England,,,,,,,,,,,,,,,,,,,
92,Dahlkemper,North Carolina,NWSL,USA,,,,,,,,,,,,,,,,,,,
93,Behringer,Bayern Munich,GER,Germany,,,,,,,,,,,,,,,,,,,
94,Wullaert,Man City,ENG,Belgium,,,,,,,,,,,,,,,,,,,
95,Asllani,Linkoping,SWE,Sweden,,,,,,,,,,,,,,,,,,,
96,Nagasato,Brisbane ,AUS,Japan,,,,,,,,,,,,,,,,,,,
96,Nagasato,Chicago,NWSL,,,,,,,,,,,,,,,,,,,,
97,Wang Shuang,PSG,FRA,China,,,,,,,,,,,,,,,,,,,
98,van Egmond,Newcastle Jets,AUS,Australia,,,,,,,,,,,,,,,,,,,
98,van Egmond,Orlando,NWSL,,,,,,,,,,,,,,,,,,,,
99,Kennedy,Sydney,AUS,Australia,,,,,,,,,,,,,,,,,,,
99,Kennedy,Orlando,NWSL,,,,,,,,,,,,,,,,,,,,
100,Goessling,Wolfsburg,GER,Germany,,,,,,,,,,,,,,,,,,,
